จังหวัด, PM2.5, วันที่
ตาก,33.94977591086178,2024-01-29
ตาก,33.67431686139715,2024-01-30
ตาก,23.677334340066352,2024-01-31
ตาก,24.742092928837547,2024-02-01
ตาก,24.727488339302564,2024-02-02
ตาก,29.108419877740797,2024-02-03
ตาก,41.55362464966802,2024-02-04
ตาก,53.757841492909485,2024-02-05
ตาก,50.5787577247147,2024-02-06
ตาก,46.96555584063346,2024-02-07
ตาก,55.63391503496948,2024-02-08
ตาก,60.358551667150394,2024-02-09
ตาก,55.637084744868275,2024-02-10
ตาก,48.447620508103086,2024-02-11
ตาก,53.387130670829734,2024-02-12
ตาก,53.52909272767031,2024-02-13
ตาก,57.17929468909346,2024-02-14
ตาก,64.09034663122185,2024-02-15
ตาก,59.4996144515671,2024-02-16
ตาก,59.51851694798994,2024-02-17
ตาก,42.842362872035196,2024-02-18
ตาก,43.464725731575726,2024-02-19
ตาก,38.62296180504459,2024-02-20
ตาก,38.43953925469863,2024-02-21
ตาก,44.851696350546646,2024-02-22
ตาก,45.333147477746685,2024-02-23
ตาก,46.16753320749062,2024-02-24
ตาก,54.058990812188334,2024-02-25
ตาก,61.21746602437567,2024-02-26
ตาก,63.29626054569647,2024-02-27
ตาก,60.199362269659545,2024-02-28
ตาก,70.05876363489635,2024-02-29
เลย,17.173878149381288,2024-01-29
เลย,26.87859642772772,2024-01-30
เลย,33.30097339980262,2024-01-31
เลย,26.41304571472348,2024-02-01
เลย,25.796396431726862,2024-02-02
เลย,32.93619815914373,2024-02-03
เลย,38.49433592929289,2024-02-04
เลย,37.75749168789473,2024-02-05
เลย,47.251666543591796,2024-02-06
เลย,49.05818750497947,2024-02-07
เลย,58.16574605930406,2024-02-08
เลย,61.03359591508538,2024-02-09
เลย,32.1204770013092,2024-02-10
เลย,39.12989842042025,2024-02-11
เลย,50.12916317026417,2024-02-12
เลย,55.76083952984113,2024-02-13
เลย,56.43955617336782,2024-02-14
เลย,69.70584509727179,2024-02-15
เลย,62.07975646686601,2024-02-16
เลย,65.15246452208592,2024-02-17
เลย,57.11923052828407,2024-02-18
เลย,46.19572835912558,2024-02-19
เลย,36.67996794243476,2024-02-20
เลย,35.749427423033126,2024-02-21
เลย,37.904424382468086,2024-02-22
เลย,42.51273670423969,2024-02-23
เลย,49.455276445166,2024-02-24
เลย,47.44050964893323,2024-02-25
เลย,50.59332452341966,2024-02-26
เลย,54.29362043819033,2024-02-27
เลย,58.869251617556465,2024-02-28
เลย,65.88785598434823,2024-02-29
ตรัง,23.36618249784671,2024-01-29
ตรัง,23.52079276078873,2024-01-30
ตรัง,22.1863385450227,2024-01-31
ตรัง,26.040990076346386,2024-02-01
ตรัง,20.416593948097407,2024-02-02
ตรัง,16.58297604167749,2024-02-03
ตรัง,26.856781231402483,2024-02-04
ตรัง,31.595908446300317,2024-02-05
ตรัง,29.919797934857844,2024-02-06
ตรัง,30.45376976245269,2024-02-07
ตรัง,27.697874125446003,2024-02-08
ตรัง,32.02813438708694,2024-02-09
ตรัง,24.190833568702573,2024-02-10
ตรัง,29.47860581586039,2024-02-11
ตรัง,34.311821766595415,2024-02-12
ตรัง,30.588989128734113,2024-02-13
ตรัง,34.41172127089332,2024-02-14
ตรัง,30.1664244923247,2024-02-15
ตรัง,26.65657375874931,2024-02-16
ตรัง,27.75001545401632,2024-02-17
ตรัง,21.59169523785756,2024-02-18
ตรัง,23.82036722194758,2024-02-19
ตรัง,18.51322370488696,2024-02-20
ตรัง,19.283537870225157,2024-02-21
ตรัง,23.78283670359784,2024-02-22
ตรัง,17.43713516872399,2024-02-23
ตรัง,18.972799378289793,2024-02-24
ตรัง,19.955762796748985,2024-02-25
ตรัง,28.422577390064603,2024-02-26
ตรัง,25.78639247073545,2024-02-27
ตรัง,24.32210478630387,2024-02-28
ตรัง,32.11419151234026,2024-02-29
ตราด,52.80945794168077,2024-01-29
ตราด,53.0271483424408,2024-01-30
ตราด,52.28824418648212,2024-01-31
ตราด,35.780754644847434,2024-02-01
ตราด,23.983454027044896,2024-02-02
ตราด,25.6258993463072,2024-02-03
ตราด,25.544121029813613,2024-02-04
ตราด,24.671226863439962,2024-02-05
ตราด,25.236455120270584,2024-02-06
ตราด,23.998526284463235,2024-02-07
ตราด,26.52685702240621,2024-02-08
ตราด,27.80725210805241,2024-02-09
ตราด,39.83071953675676,2024-02-10
