จังหวัด, PM2.5, วันที่
ตาก,18.48885135668458,2024-10-30
ตาก,17.23490522521526,2024-10-31
ตาก,19.96431702102182,2024-11-01
ตาก,18.354233536331186,2024-11-02
ตาก,25.857359072820916,2024-11-03
ตาก,30.083293384354793,2024-11-04
ตาก,21.57343479226674,2024-11-05
ตาก,15.436173162607012,2024-11-06
ตาก,22.182507193417543,2024-11-07
ตาก,20.64569551566938,2024-11-08
ตาก,23.181396250504235,2024-11-09
ตาก,31.852584435424788,2024-11-10
ตาก,31.07383197440523,2024-11-11
ตาก,30.709122749668403,2024-11-12
ตาก,33.392560509808334,2024-11-13
ตาก,30.205773604938123,2024-11-14
ตาก,25.05897433577486,2024-11-15
ตาก,27.30022793655897,2024-11-16
ตาก,22.41515617280777,2024-11-17
ตาก,22.892486715618332,2024-11-18
ตาก,21.462003905740957,2024-11-19
ตาก,22.69071211922046,2024-11-20
ตาก,25.56681423846747,2024-11-21
ตาก,29.226325719582555,2024-11-22
ตาก,29.4235081749671,2024-11-23
ตาก,28.10391987570371,2024-11-24
ตาก,27.508911039458727,2024-11-25
ตาก,24.106995315534988,2024-11-26
ตาก,21.94405274187675,2024-11-27
ตาก,21.393157007684508,2024-11-28
ตาก,24.006399067910646,2024-11-29
ตาก,29.148620319117803,2024-11-30
เลย,14.130048080558321,2024-10-30
เลย,17.384437841707268,2024-10-31
เลย,21.486402799134023,2024-11-01
เลย,27.59786134063225,2024-11-02
เลย,30.548927733830077,2024-11-03
เลย,29.182242420040662,2024-11-04
เลย,17.709795691754742,2024-11-05
เลย,17.316736066728932,2024-11-06
เลย,27.220181416893954,2024-11-07
เลย,28.0712562487102,2024-11-08
เลย,30.89999949234788,2024-11-09
เลย,36.19313963548128,2024-11-10
เลย,32.364132992293314,2024-11-11
เลย,33.080192679768004,2024-11-12
เลย,32.02084016350328,2024-11-13
เลย,29.993644950646747,2024-11-14
เลย,28.447124476161505,2024-11-15
เลย,28.078154436680844,2024-11-16
เลย,22.561341412044502,2024-11-17
เลย,21.37785036127652,2024-11-18
เลย,20.557527217091998,2024-11-19
เลย,23.364855472318762,2024-11-20
เลย,25.32715841059674,2024-11-21
เลย,26.37575481167291,2024-11-22
เลย,23.081476629950146,2024-11-23
เลย,22.018062205408523,2024-11-24
เลย,21.244018622806163,2024-11-25
