จังหวัด, PM2.5, วันที่
ตาก,51.61148558567522,2024-04-30
ตาก,58.254535616304416,2024-05-01
ตาก,66.0589661030736,2024-05-02
ตาก,49.440965669383786,2024-05-03
ตาก,51.16396164118399,2024-05-04
ตาก,48.79147512767584,2024-05-05
ตาก,65.41113950867081,2024-05-06
ตาก,55.197651412905714,2024-05-07
ตาก,38.98896067841364,2024-05-08
ตาก,37.0701141734009,2024-05-09
ตาก,25.72416025839513,2024-05-10
ตาก,18.54205152236862,2024-05-11
ตาก,18.213595628792238,2024-05-12
ตาก,20.225588998917473,2024-05-13
ตาก,14.838089081326014,2024-05-14
ตาก,22.047416425879593,2024-05-15
ตาก,27.568854314943067,2024-05-16
ตาก,23.40076455648778,2024-05-17
ตาก,23.330443000549653,2024-05-18
ตาก,17.996224611057123,2024-05-19
ตาก,15.117340290924437,2024-05-20
ตาก,12.94219168657541,2024-05-21
ตาก,10.049385527709648,2024-05-22
ตาก,9.970200319801606,2024-05-23
ตาก,7.706496405902102,2024-05-24
ตาก,7.923713779793886,2024-05-25
ตาก,7.90179087570725,2024-05-26
ตาก,8.153078407135927,2024-05-27
ตาก,8.899440781439626,2024-05-28
ตาก,8.590251272629851,2024-05-29
ตาก,10.81502961924039,2024-05-30
ตาก,13.564978675755256,2024-05-31
เลย,59.46629408057362,2024-04-30
เลย,65.13892420230268,2024-05-01
เลย,72.30808725692458,2024-05-02
เลย,57.19933076455819,2024-05-03
เลย,50.9564805031247,2024-05-04
เลย,51.4228355383286,2024-05-05
เลย,55.02235007326928,2024-05-06
เลย,39.81166840515176,2024-05-07
เลย,31.073508068481487,2024-05-08
เลย,25.08595474124357,2024-05-09
เลย,23.11077689583682,2024-05-10
เลย,15.442423521263672,2024-05-11
เลย,19.001912248419515,2024-05-12
เลย,21.087157625218996,2024-05-13
เลย,13.573070589411332,2024-05-14
เลย,20.69082917556244,2024-05-15
เลย,25.31397083839301,2024-05-16
เลย,24.171815222472357,2024-05-17
เลย,20.81411020518221,2024-05-18
เลย,19.94965554507297,2024-05-19
เลย,14.426172772902646,2024-05-20
เลย,11.290291076038423,2024-05-21
เลย,11.119573652737932,2024-05-22
เลย,9.207779012008247,2024-05-23
เลย,7.304419884242564,2024-05-24
เลย,7.932823745971141,2024-05-25
เลย,8.238554788685052,2024-05-26
เลย,8.8036769291923,2024-05-27
เลย,9.567309844995814,2024-05-28
เลย,8.683677384287883,2024-05-29
เลย,10.844207920633254,2024-05-30
เลย,15.112514701071566,2024-05-31
ตรัง,27.6782115902359,2024-04-30
ตรัง,27.27661675917148,2024-05-01
ตรัง,30.06034077403533,2024-05-02
ตรัง,22.401125225544813,2024-05-03
ตรัง,21.094301180462924,2024-05-04
ตรัง,27.399924411794505,2024-05-05
ตรัง,25.728540176277637,2024-05-06
ตรัง,22.816563993806636,2024-05-07
ตรัง,19.01942387381817,2024-05-08
ตรัง,17.79298917610244,2024-05-09
ตรัง,16.811631140679822,2024-05-10
ตรัง,14.663405505751273,2024-05-11
ตรัง,14.661865706892197,2024-05-12
ตรัง,15.369772721370929,2024-05-13
ตรัง,15.548643556801682,2024-05-14
ตรัง,16.27390000325911,2024-05-15
ตรัง,17.226369600117565,2024-05-16
ตรัง,15.696435412925327,2024-05-17
ตรัง,15.591373834051078,2024-05-18
ตรัง,13.218686911699606,2024-05-19
ตรัง,13.077176222977746,2024-05-20
ตรัง,11.34110441666088,2024-05-21
ตรัง,13.395471134768206,2024-05-22
ตรัง,11.481364774752462,2024-05-23
ตรัง,13.498609999516786,2024-05-24
ตรัง,14.407566922533181,2024-05-25
ตรัง,14.72977268629912,2024-05-26
ตรัง,15.379321837203852,2024-05-27
ตรัง,16.188715570197054,2024-05-28
ตรัง,18.620743329630024,2024-05-29
ตรัง,12.694656852411672,2024-05-30
ตรัง,16.551013757443947,2024-05-31
ตราด,17.892851733258137,2024-04-30
ตราด,21.43339158660607,2024-05-01
ตราด,21.95372256597779,2024-05-02
ตราด,19.903283536211024,2024-05-03
ตราด,16.05817824979469,2024-05-04
ตราด,20.131904558433575,2024-05-05
ตราด,26.38680173491949,2024-05-06
ตราด,17.838454120417694,2024-05-07
ตราด,20.52603859583355,2024-05-08
ตราด,19.71481088181747,2024-05-09
ตราด,14.909291865746617,2024-05-10
ตราด,18.3274895324848,2024-05-11
ตราด,33.03457802376005,2024-05-12
ตราด,23.013995138481764,2024-05-13
ตราด,17.53957815876969,2024-05-14
ตราด,30.448696490474077,2024-05-15
ตราด,21.762851520059588,2024-05-16
ตราด,14.11894333692926,2024-05-17
ตราด,13.728734001998566,2024-05-18
ตราด,13.284562118954058,2024-05-19
ตราด,27.553648460331754,2024-05-20
ตราด,14.32637051765903,2024-05-21
ตราด,16.673884712357562,2024-05-22
ตราด,17.763192761609908,2024-05-23
ตราด,14.631860055577121,2024-05-24
ตราด,20.69313238316845,2024-05-25
ตราด,10.834478502104414,2024-05-26
ตราด,19.715027498673827,2024-05-27
ตราด,17.988115708237704,2024-05-28
ตราด,26.113134724120176,2024-05-29
ตราด,17.405294513807448,2024-05-30
ตราด,7.985955031902224,2024-05-31
น่าน,76.92859674122063,2024-04-30
น่าน,87.25116758219222,2024-05-01
น่าน,107.90584070697042,2024-05-02
น่าน,63.576160798745,2024-05-03
น่าน,66.33213704453426,2024-05-04
น่าน,68.72140442077871,2024-05-05
น่าน,75.23634771197446,2024-05-06
น่าน,64.26261779812167,2024-05-07
น่าน,41.39232825074171,2024-05-08
น่าน,40.02017765621115,2024-05-09
น่าน,33.93278586391408,2024-05-10
น่าน,21.80073727107512,2024-05-11
น่าน,22.408306699493345,2024-05-12
น่าน,27.799106777894885,2024-05-13
น่าน,23.73047302561436,2024-05-14
น่าน,28.536412397747494,2024-05-15
น่าน,35.0651551684345,2024-05-16
น่าน,35.61018069442916,2024-05-17
น่าน,34.69890550283065,2024-05-18
น่าน,31.843556728898065,2024-05-19
น่าน,23.756174217716143,2024-05-20
น่าน,21.880074976035807,2024-05-21
น่าน,17.335544886672988,2024-05-22
น่าน,17.50384406030185,2024-05-23
น่าน,14.003430326943406,2024-05-24
น่าน,14.508068489199154,2024-05-25
น่าน,16.204914557274364,2024-05-26
น่าน,12.635370156519636,2024-05-27
น่าน,20.150319868095853,2024-05-28
น่าน,19.868587546057725,2024-05-29
น่าน,22.599631262387916,2024-05-30
น่าน,22.26225505324373,2024-05-31
ยะลา,19.45564082749675,2024-04-30
ยะลา,26.19681344760836,2024-05-01
ยะลา,30.389955401896604,2024-05-02
ยะลา,26.96523766799173,2024-05-03
ยะลา,29.849957987593164,2024-05-04
ยะลา,26.868506725837378,2024-05-05
ยะลา,26.404725335339414,2024-05-06
ยะลา,19.63294672810844,2024-05-07
ยะลา,15.444956658904836,2024-05-08
ยะลา,16.173696529319564,2024-05-09
ยะลา,13.020645664850136,2024-05-10
ยะลา,16.41979486006822,2024-05-11
ยะลา,11.719056707130779,2024-05-12
ยะลา,16.496003355026307,2024-05-13
ยะลา,15.477021575247123,2024-05-14
ยะลา,17.020899959253097,2024-05-15
ยะลา,16.49952636590602,2024-05-16
ยะลา,11.2577867305138,2024-05-17
ยะลา,12.550345052115413,2024-05-18
ยะลา,12.678940756183236,2024-05-19
ยะลา,12.395861093031735,2024-05-20
ยะลา,10.413808435239092,2024-05-21
ยะลา,11.135608261184439,2024-05-22
ยะลา,12.275697447834155,2024-05-23
ยะลา,13.201663892496303,2024-05-24
ยะลา,14.468569849956856,2024-05-25
ยะลา,15.50293636514704,2024-05-26
ยะลา,16.1330581257613,2024-05-27
ยะลา,18.297665954362586,2024-05-28
ยะลา,16.347675850915344,2024-05-29
ยะลา,14.503836605887257,2024-05-30
ยะลา,16.483159110443033,2024-05-31
สตูล,15.081521027706277,2024-04-30
สตูล,25.68727725326453,2024-05-01
สตูล,29.527397062074602,2024-05-02
สตูล,27.311475008837427,2024-05-03
สตูล,18.374994768014005,2024-05-04
สตูล,27.652850842013613,2024-05-05
สตูล,22.825546803563437,2024-05-06
สตูล,18.820652407147655,2024-05-07
สตูล,15.499547797646748,2024-05-08
สตูล,15.017247412801163,2024-05-09
สตูล,12.695258566201332,2024-05-10
สตูล,16.045701716425004,2024-05-11
สตูล,14.037650022714688,2024-05-12
สตูล,15.926818366509096,2024-05-13
สตูล,16.084456080308556,2024-05-14
สตูล,15.978995228490273,2024-05-15
สตูล,17.601796803871956,2024-05-16
สตูล,13.54204302411552,2024-05-17
สตูล,13.109485260843899,2024-05-18
สตูล,13.71696046657594,2024-05-19
สตูล,12.644245291402722,2024-05-20
สตูล,10.482006284710844,2024-05-21
สตูล,11.836526629704665,2024-05-22
สตูล,12.141071038314413,2024-05-23
สตูล,12.243234830664486,2024-05-24
สตูล,15.32851972279475,2024-05-25
สตูล,16.456959433375406,2024-05-26
สตูล,17.444457145430764,2024-05-27
สตูล,16.687266303743943,2024-05-28
สตูล,16.599787554293275,2024-05-29
สตูล,12.94709754924018,2024-05-30
สตูล,16.087365129164088,2024-05-31
แพร่,63.96199790788705,2024-04-30
แพร่,73.80898950286536,2024-05-01
แพร่,94.20683638333271,2024-05-02
แพร่,72.61906715982907,2024-05-03
แพร่,61.15282409629317,2024-05-04
แพร่,59.55751047648466,2024-05-05
แพร่,77.5683226167325,2024-05-06
