จังหวัด, PM2.5, วันที่
ตาก,57.309861435626026,2024-02-29
ตาก,57.73068706828184,2024-03-01
ตาก,62.66129194701,2024-03-02
ตาก,50.792948615506326,2024-03-03
ตาก,44.56949671547472,2024-03-04
ตาก,56.88191073392743,2024-03-05
ตาก,95.61515070669776,2024-03-06
ตาก,98.07318822362458,2024-03-07
ตาก,77.8046375570305,2024-03-08
ตาก,50.11132629676144,2024-03-09
ตาก,56.764053707535716,2024-03-10
ตาก,66.91978856986528,2024-03-11
ตาก,62.4512292813535,2024-03-12
ตาก,51.031073755791084,2024-03-13
ตาก,74.13999073073784,2024-03-14
ตาก,104.13454848114422,2024-03-15
ตาก,96.00941329805015,2024-03-16
ตาก,81.48310876468145,2024-03-17
ตาก,81.58923141258232,2024-03-18
ตาก,84.69245410004197,2024-03-19
ตาก,32.2672020505553,2024-03-20
ตาก,32.81205414260912,2024-03-21
ตาก,43.03744685556725,2024-03-22
ตาก,42.484668554975904,2024-03-23
ตาก,48.28362714751166,2024-03-24
ตาก,64.66904528030302,2024-03-25
ตาก,77.04482311178108,2024-03-26
ตาก,69.45613454192171,2024-03-27
ตาก,72.55994016512903,2024-03-28
ตาก,78.6432207911785,2024-03-29
ตาก,73.24085552298662,2024-03-30
ตาก,85.34942072318259,2024-03-31
เลย,63.170371472451365,2024-02-29
เลย,56.08673603407477,2024-03-01
เลย,45.396042778004734,2024-03-02
เลย,54.19549772900915,2024-03-03
เลย,60.42535892431941,2024-03-04
เลย,62.89080553738173,2024-03-05
เลย,108.42366678523165,2024-03-06
เลย,104.03486735485815,2024-03-07
เลย,90.6994383502585,2024-03-08
เลย,61.29599567920029,2024-03-09
เลย,58.87936754640642,2024-03-10
เลย,66.73637831942881,2024-03-11
เลย,58.12064667795479,2024-03-12
เลย,56.40856480546966,2024-03-13
เลย,64.817289746845,2024-03-14
เลย,86.71767556927,2024-03-15
เลย,95.57051034481772,2024-03-16
เลย,76.12401044503217,2024-03-17
เลย,72.4641680488514,2024-03-18
เลย,68.2528013934903,2024-03-19
เลย,21.564363908914604,2024-03-20
เลย,24.20601622350981,2024-03-21
เลย,40.359529775166905,2024-03-22
เลย,42.01373355605869,2024-03-23
เลย,38.713767500860925,2024-03-24
เลย,47.787377953999716,2024-03-25
เลย,57.35315815818149,2024-03-26
เลย,40.783992889104375,2024-03-27
เลย,46.201705278149866,2024-03-28
เลย,54.70848649407807,2024-03-29
เลย,48.18071077338828,2024-03-30
เลย,57.94526727227416,2024-03-31
ตรัง,29.80785218732259,2024-02-29
ตรัง,26.014152413384373,2024-03-01
ตรัง,25.35712727771504,2024-03-02
ตรัง,25.83665352777953,2024-03-03
ตรัง,26.083870953391077,2024-03-04
ตรัง,26.008506387386348,2024-03-05
ตรัง,27.980185174614103,2024-03-06
ตรัง,25.028192501231093,2024-03-07
ตรัง,23.196113883644696,2024-03-08
ตรัง,23.029508488701985,2024-03-09
ตรัง,30.00572374978231,2024-03-10
ตรัง,28.071644119368116,2024-03-11
ตรัง,26.60318657134075,2024-03-12
ตรัง,24.60963037013795,2024-03-13
ตรัง,20.785091914173186,2024-03-14
ตรัง,27.15014469433306,2024-03-15
ตรัง,23.31103595267217,2024-03-16
ตรัง,23.565781525647203,2024-03-17
ตรัง,26.624123098803167,2024-03-18
ตรัง,19.336915755808345,2024-03-19
ตรัง,25.657434066288147,2024-03-20
ตรัง,27.657946809808582,2024-03-21
ตรัง,28.594857991606368,2024-03-22
ตรัง,24.122779005026317,2024-03-23
ตรัง,23.511362906618466,2024-03-24
ตรัง,21.70874700401348,2024-03-25
ตรัง,24.918802381662605,2024-03-26
ตรัง,23.530081205126358,2024-03-27
ตรัง,22.443233925930425,2024-03-28
ตรัง,18.24710067524787,2024-03-29
ตรัง,20.30640103824568,2024-03-30
ตรัง,29.95865948512934,2024-03-31
ตราด,23.092744477653973,2024-02-29
ตราด,38.982929793146546,2024-03-01
ตราด,29.197429577506714,2024-03-02
ตราด,30.73453095102583,2024-03-03
ตราด,20.235968682284376,2024-03-04
ตราด,21.02452478746545,2024-03-05
ตราด,20.311370011867368,2024-03-06
ตราด,27.213170301547414,2024-03-07
ตราด,26.609292743223346,2024-03-08
ตราด,23.512559384425067,2024-03-09
ตราด,30.77921783031301,2024-03-10
ตราด,38.507627440529056,2024-03-11
ตราด,29.5575209307232,2024-03-12
ตราด,18.848509375384012,2024-03-13
ตราด,19.983464772119326,2024-03-14
ตราด,19.077915905529686,2024-03-15
ตราด,19.549078595711297,2024-03-16
ตราด,21.643622770645145,2024-03-17
ตราด,31.18508916711017,2024-03-18
ตราด,30.914658342834635,2024-03-19
ตราด,33.85335352609494,2024-03-20
ตราด,39.69131645402016,2024-03-21
ตราด,37.69652606018081,2024-03-22
ตราด,20.7709339235393,2024-03-23
ตราด,22.95898790761979,2024-03-24
ตราด,25.337830610237262,2024-03-25
ตราด,21.35223551187686,2024-03-26
ตราด,21.657508281484873,2024-03-27
ตราด,25.428604870668448,2024-03-28
ตราด,29.00584196640928,2024-03-29
ตราด,20.63202927519339,2024-03-30
ตราด,18.367654005052096,2024-03-31
น่าน,69.64709429604304,2024-02-29
น่าน,70.68867567367377,2024-03-01
น่าน,73.74920232209071,2024-03-02
น่าน,67.03195542796672,2024-03-03
น่าน,63.56571986061872,2024-03-04
น่าน,81.48001176407473,2024-03-05
น่าน,109.36107885733551,2024-03-06
น่าน,116.8861733818716,2024-03-07
น่าน,111.30701268039189,2024-03-08
น่าน,82.27363851521146,2024-03-09
น่าน,76.56095973144991,2024-03-10
น่าน,78.01358597124064,2024-03-11
น่าน,80.78875424523058,2024-03-12
น่าน,64.79066220175737,2024-03-13
น่าน,86.65991947093656,2024-03-14
น่าน,129.49659871596415,2024-03-15
น่าน,121.52096091765173,2024-03-16
น่าน,103.40412136343875,2024-03-17
น่าน,100.18787484032269,2024-03-18
น่าน,99.2564005557302,2024-03-19
น่าน,39.62268019996525,2024-03-20
น่าน,29.993863798882927,2024-03-21
น่าน,37.46320793954036,2024-03-22
น่าน,37.43568887610742,2024-03-23
น่าน,52.04230351763359,2024-03-24
น่าน,62.84710991697827,2024-03-25
น่าน,73.55883242024622,2024-03-26
น่าน,67.046069092546,2024-03-27
น่าน,74.19015610845213,2024-03-28
น่าน,82.34489928336666,2024-03-29
น่าน,77.75372084037595,2024-03-30
น่าน,88.92801649670385,2024-03-31
ยะลา,18.67771266239088,2024-02-29
ยะลา,20.660155207843342,2024-03-01
ยะลา,19.75751266880362,2024-03-02
ยะลา,19.829658636484623,2024-03-03
ยะลา,20.7264604044641,2024-03-04
ยะลา,23.769444806886032,2024-03-05
ยะลา,34.008849191377955,2024-03-06
ยะลา,33.438847396482466,2024-03-07
ยะลา,28.84222389316341,2024-03-08
ยะลา,18.959164551240832,2024-03-09
ยะลา,24.471660458103294,2024-03-10
ยะลา,26.764794170890653,2024-03-11
ยะลา,25.92177374166238,2024-03-12
ยะลา,23.783649509244928,2024-03-13
ยะลา,19.978988159510234,2024-03-14
ยะลา,23.322744066356883,2024-03-15
ยะลา,21.242643110036948,2024-03-16
ยะลา,20.739906338826373,2024-03-17
ยะลา,23.662161600987382,2024-03-18
ยะลา,17.30013509946837,2024-03-19
ยะลา,22.861944202463608,2024-03-20
ยะลา,24.79950209621358,2024-03-21
