จังหวัด, PM2.5, วันที่
ตาก,28.099313888172805,2024-11-30
ตาก,33.439797572334015,2024-12-01
ตาก,36.549978037576935,2024-12-02
ตาก,35.978835157584285,2024-12-03
ตาก,33.92443361035145,2024-12-04
ตาก,33.00081067323513,2024-12-05
ตาก,33.64342425153958,2024-12-06
ตาก,34.713480763636696,2024-12-07
ตาก,32.70552524641575,2024-12-08
ตาก,27.802857614902337,2024-12-09
ตาก,31.953574788561944,2024-12-10
ตาก,36.41273910749857,2024-12-11
ตาก,33.150226594189405,2024-12-12
ตาก,28.001141207779423,2024-12-13
ตาก,20.877889809374825,2024-12-14
ตาก,14.57325428891321,2024-12-15
ตาก,15.487167979618725,2024-12-16
ตาก,19.30555268684138,2024-12-17
ตาก,27.115044490713803,2024-12-18
ตาก,30.550332881392702,2024-12-19
ตาก,34.11290309184384,2024-12-20
ตาก,41.65558683407507,2024-12-21
ตาก,36.90614055734768,2024-12-22
ตาก,36.351261313482816,2024-12-23
ตาก,38.395449111590914,2024-12-24
ตาก,37.65874501372559,2024-12-25
ตาก,37.63325320726452,2024-12-26
ตาก,35.616392451716074,2024-12-27
ตาก,30.72932160620536,2024-12-28
ตาก,25.137168432302623,2024-12-29
ตาก,28.963054297143856,2024-12-30
ตาก,34.73553791233561,2024-12-31
เลย,35.584150007739275,2024-11-30
เลย,40.55140741097725,2024-12-01
เลย,43.66356059246575,2024-12-02
เลย,37.12867377920478,2024-12-03
เลย,31.07740344976437,2024-12-04
เลย,29.70717287045135,2024-12-05
เลย,33.29056957418226,2024-12-06
เลย,30.842760883879613,2024-12-07
เลย,25.277453337650215,2024-12-08
เลย,19.203409438743854,2024-12-09
เลย,31.664499238300316,2024-12-10
เลย,31.98508752963238,2024-12-11
เลย,23.989586981760965,2024-12-12
เลย,20.456753289596005,2024-12-13
เลย,18.07225506012319,2024-12-14
เลย,13.483233488145487,2024-12-15
เลย,21.14910650762945,2024-12-16
เลย,26.281838246676745,2024-12-17
เลย,30.160980248866423,2024-12-18
เลย,38.238446033532234,2024-12-19
เลย,42.821395080951014,2024-12-20
เลย,41.59220682711837,2024-12-21
เลย,38.17310166778638,2024-12-22
เลย,46.81711230874982,2024-12-23
เลย,42.98494434770652,2024-12-24
เลย,45.23339083613324,2024-12-25
เลย,44.61951105359387,2024-12-26
เลย,33.98840849517339,2024-12-27
เลย,23.668355494150997,2024-12-28
เลย,22.209142926232833,2024-12-29
เลย,32.876597854643784,2024-12-30
เลย,43.38503260250267,2024-12-31
ตรัง,26.30753092405079,2024-11-30
ตรัง,28.30137911942364,2024-12-01
ตรัง,37.78308300309585,2024-12-02
ตรัง,42.078013608777795,2024-12-03
ตรัง,30.64093631972082,2024-12-04
ตรัง,32.68504439397778,2024-12-05
ตรัง,26.647292618374212,2024-12-06
ตรัง,24.33679786780193,2024-12-07
ตรัง,22.183004326012124,2024-12-08
ตรัง,16.883911581367776,2024-12-09
ตรัง,29.490965950028926,2024-12-10
ตรัง,26.562040461396702,2024-12-11
ตรัง,16.37305928906085,2024-12-12
ตรัง,10.409594637934823,2024-12-13
ตรัง,11.754686548508452,2024-12-14
ตรัง,12.854281903070113,2024-12-15
ตรัง,13.338833188243829,2024-12-16
ตรัง,21.988928452762487,2024-12-17
ตรัง,23.402016065184974,2024-12-18
ตรัง,24.1718843910507,2024-12-19
ตรัง,27.819689832567196,2024-12-20
ตรัง,33.244609094220614,2024-12-21
ตรัง,32.93899811465394,2024-12-22
ตรัง,31.603515073520157,2024-12-23
ตรัง,33.56430785199989,2024-12-24
ตรัง,31.185231491268965,2024-12-25
ตรัง,31.29928746591904,2024-12-26
ตรัง,24.41740937429589,2024-12-27
ตรัง,20.852705604319205,2024-12-28
ตรัง,16.324195435373174,2024-12-29
ตรัง,21.889784405595552,2024-12-30
ตรัง,33.69140988985847,2024-12-31
ตราด,26.332304993619623,2024-11-30
ตราด,31.04720943594127,2024-12-01
ตราด,32.40152154422834,2024-12-02
ตราด,33.81609780315628,2024-12-03
ตราด,29.436156719998685,2024-12-04
ตราด,24.93608860069365,2024-12-05
ตราด,26.386466004678077,2024-12-06
ตราด,22.614099573593638,2024-12-07
ตราด,21.314796153789697,2024-12-08
ตราด,22.49802637927923,2024-12-09
ตราด,25.231963427919087,2024-12-10
ตราด,30.235691683666147,2024-12-11
ตราด,23.701754524082542,2024-12-12
ตราด,20.570476728220676,2024-12-13
ตราด,17.193020118793047,2024-12-14
ตราด,16.306288043475487,2024-12-15
ตราด,17.37003874062261,2024-12-16
ตราด,26.718546119416402,2024-12-17
ตราด,26.468341445576176,2024-12-18
ตราด,25.212330584188162,2024-12-19
ตราด,27.030101502213537,2024-12-20
ตราด,30.314308071182193,2024-12-21
ตราด,26.2499816909005,2024-12-22
ตราด,29.178950071112393,2024-12-23
ตราด,29.812901423205357,2024-12-24
ตราด,28.39614397426264,2024-12-25
ตราด,31.872519745080066,2024-12-26
ตราด,28.007428610872402,2024-12-27
ตราด,21.897028743049983,2024-12-28
ตราด,20.05681947065465,2024-12-29
ตราด,25.73757352425314,2024-12-30
ตราด,23.196383734029617,2024-12-31
น่าน,32.868504079255736,2024-11-30
น่าน,32.640928897297115,2024-12-01
น่าน,33.252909400241506,2024-12-02
น่าน,32.47949147048015,2024-12-03
น่าน,35.757635442928375,2024-12-04
น่าน,41.18440603425589,2024-12-05
น่าน,45.25289682020223,2024-12-06
น่าน,44.082654335158615,2024-12-07
น่าน,39.582271587309165,2024-12-08
น่าน,35.65620047063935,2024-12-09
น่าน,37.87901876856709,2024-12-10
น่าน,34.91572371091729,2024-12-11
น่าน,37.18279868032165,2024-12-12
น่าน,35.24761664285757,2024-12-13
น่าน,30.917800654114636,2024-12-14
น่าน,18.3880070268191,2024-12-15
น่าน,19.26567487240645,2024-12-16
น่าน,22.742379962526652,2024-12-17
น่าน,27.781784295420707,2024-12-18
น่าน,36.00018565845674,2024-12-19
น่าน,40.68821062067193,2024-12-20
น่าน,46.025698856527036,2024-12-21
น่าน,43.565455815651895,2024-12-22
น่าน,43.513156446468166,2024-12-23
น่าน,40.022882902854796,2024-12-24
น่าน,41.884575975654315,2024-12-25
น่าน,40.993036437199926,2024-12-26
น่าน,37.33142178737405,2024-12-27
น่าน,33.776802105613974,2024-12-28
น่าน,28.476740615032423,2024-12-29
น่าน,31.55205527980784,2024-12-30
น่าน,36.63868075016343,2024-12-31
ยะลา,23.158778710697682,2024-11-30
ยะลา,26.12335700707917,2024-12-01
ยะลา,33.691446920842985,2024-12-02
ยะลา,43.37131819887733,2024-12-03
ยะลา,39.12904042443892,2024-12-04
ยะลา,31.913748149645734,2024-12-05
ยะลา,22.34975581351968,2024-12-06
ยะลา,20.062226082874684,2024-12-07
ยะลา,15.531994539062609,2024-12-08
ยะลา,13.891197673148561,2024-12-09
ยะลา,27.859027204083393,2024-12-10
ยะลา,29.897962713096167,2024-12-11
ยะลา,21.13821908887219,2024-12-12
ยะลา,8.11047716753309,2024-12-13
ยะลา,8.600451104089341,2024-12-14
ยะลา,8.998831936083493,2024-12-15
ยะลา,9.841630991276615,2024-12-16
ยะลา,18.204476510980047,2024-12-17
ยะลา,20.788380488688997,2024-12-18
ยะลา,21.470684422631944,2024-12-19
ยะลา,23.859636157180887,2024-12-20
ยะลา,28.415117269942414,2024-12-21
ยะลา,26.410884626519252,2024-12-22
ยะลา,27.1779418066688,2024-12-23
ยะลา,30.71526575679457,2024-12-24
ยะลา,28.1809154020644,2024-12-25
ยะลา,29.13009877933306,2024-12-26
ยะลา,21.66652677686033,2024-12-27
ยะลา,15.068733536166897,2024-12-28
ยะลา,12.530161580940927,2024-12-29
ยะลา,19.655687227417907,2024-12-30
ยะลา,33.187483041478636,2024-12-31
สตูล,21.81057069489498,2024-11-30
สตูล,24.029707602149195,2024-12-01
สตูล,36.36609075065986,2024-12-02
สตูล,35.395096526521804,2024-12-03
สตูล,31.12310331126049,2024-12-04
สตูล,24.281395179329785,2024-12-05
สตูล,21.545204963893077,2024-12-06
สตูล,19.30219190095824,2024-12-07
สตูล,14.55165275420846,2024-12-08
สตูล,13.096993397914432,2024-12-09
สตูล,27.152961284667537,2024-12-10
สตูล,22.382000394498487,2024-12-11
สตูล,18.08327428792916,2024-12-12
สตูล,8.38240065365587,2024-12-13
สตูล,8.734469570052507,2024-12-14
สตูล,12.4300403002068,2024-12-15
สตูล,10.968106008138479,2024-12-16
สตูล,18.058517961191,2024-12-17
สตูล,20.136922743849983,2024-12-18
สตูล,19.53124904364832,2024-12-19
สตูล,23.669681287339092,2024-12-20
สตูล,28.120445466102964,2024-12-21
สตูล,26.242416873687546,2024-12-22
สตูล,23.541409282830177,2024-12-23
สตูล,29.275195219218595,2024-12-24
สตูล,26.28714454604483,2024-12-25
สตูล,27.241043778489136,2024-12-26
สตูล,21.548666977600586,2024-12-27
สตูล,14.50929333105273,2024-12-28
สตูล,11.304084474897358,2024-12-29
สตูล,16.937325470665225,2024-12-30
สตูล,19.366943447745097,2024-12-31
แพร่,26.21557848582375,2024-11-30
แพร่,28.16732806511191,2024-12-01
แพร่,29.750241035422935,2024-12-02
แพร่,27.79324420383627,2024-12-03
แพร่,28.172557401200404,2024-12-04
แพร่,34.949343773252814,2024-12-05
แพร่,36.27658238075572,2024-12-06
แพร่,33.86853815019094,2024-12-07
แพร่,28.68679834733395,2024-12-08
แพร่,24.419665290006463,2024-12-09
แพร่,26.15654137638056,2024-12-10
แพร่,25.246411568362088,2024-12-11
แพร่,29.530211151162565,2024-12-12
แพร่,27.883603903407494,2024-12-13
แพร่,24.088111542333458,2024-12-14
แพร่,11.746462376708122,2024-12-15
แพร่,10.509363705575472,2024-12-16
แพร่,14.207130083225097,2024-12-17
แพร่,20.718172197167455,2024-12-18
แพร่,26.856167880384472,2024-12-19
แพร่,31.22961408862008,2024-12-20
แพร่,34.206974109660074,2024-12-21
แพร่,33.58002063574101,2024-12-22
แพร่,34.401290487258485,2024-12-23
แพร่,35.74634885404798,2024-12-24
แพร่,36.08559275022679,2024-12-25
แพร่,36.62033947097888,2024-12-26
แพร่,33.26310859302774,2024-12-27
แพร่,30.785861537442482,2024-12-28
แพร่,24.290821410206643,2024-12-29
แพร่,26.91370922303056,2024-12-30
แพร่,25.504705349557774,2024-12-31
ชุมพร,15.529179399650756,2024-11-30
ชุมพร,17.19248733635699,2024-12-01
ชุมพร,18.760696827924153,2024-12-02
ชุมพร,23.203113939580614,2024-12-03
ชุมพร,23.057756301147702,2024-12-04
ชุมพร,19.59432227408398,2024-12-05
ชุมพร,14.28161270266531,2024-12-06
ชุมพร,14.548545540931583,2024-12-07
ชุมพร,13.794745224848365,2024-12-08
ชุมพร,13.167328415825711,2024-12-09
ชุมพร,16.074156644038087,2024-12-10
ชุมพร,19.58125255667062,2024-12-11
ชุมพร,18.324808614263546,2024-12-12
ชุมพร,11.233124006734228,2024-12-13
ชุมพร,9.763713277431854,2024-12-14
ชุมพร,10.57582258229429,2024-12-15
ชุมพร,8.915750013188307,2024-12-16
ชุมพร,13.839259533009432,2024-12-17
ชุมพร,17.36396039933014,2024-12-18
ชุมพร,18.942428303946933,2024-12-19
ชุมพร,20.25173682343924,2024-12-20
ชุมพร,18.584829934370923,2024-12-21
ชุมพร,20.908896731804038,2024-12-22
ชุมพร,22.187574951991994,2024-12-23
ชุมพร,25.470834472276803,2024-12-24
ชุมพร,25.138053657747317,2024-12-25
ชุมพร,26.19270331462276,2024-12-26
ชุมพร,18.176189520549208,2024-12-27
