จังหวัด, PM2.5, วันที่
ตาก,8.582754672787974,2024-06-30
ตาก,8.18466781253543,2024-07-01
ตาก,10.225934379537625,2024-07-02
ตาก,13.734543917394584,2024-07-03
ตาก,11.944774840529508,2024-07-04
ตาก,10.331137893118129,2024-07-05
ตาก,10.603436678747965,2024-07-06
ตาก,11.122126703718932,2024-07-07
ตาก,12.49736705248812,2024-07-08
ตาก,12.228327305044255,2024-07-09
ตาก,11.542535568949317,2024-07-10
ตาก,9.240224090097916,2024-07-11
ตาก,9.641114620190933,2024-07-12
ตาก,9.171623855745125,2024-07-13
ตาก,9.252438471409956,2024-07-14
ตาก,10.31260636099828,2024-07-15
ตาก,9.025147332668816,2024-07-16
ตาก,9.151004758021756,2024-07-17
ตาก,8.494690887067426,2024-07-18
ตาก,7.949758280533309,2024-07-19
ตาก,8.257179384234691,2024-07-20
ตาก,8.81995204730976,2024-07-21
ตาก,10.286114328863365,2024-07-22
ตาก,11.68251684633022,2024-07-23
ตาก,8.79690335054805,2024-07-24
ตาก,9.088889202508657,2024-07-25
ตาก,9.040750598076565,2024-07-26
ตาก,8.39293677576523,2024-07-27
ตาก,10.935541545939598,2024-07-30
ตาก,10.095133746556609,2024-07-31
เลย,8.491989260098526,2024-06-30
เลย,8.272197390439771,2024-07-01
เลย,8.770749411076364,2024-07-02
เลย,10.656889432385379,2024-07-03
เลย,11.340026538632245,2024-07-04
เลย,12.709776650996945,2024-07-05
เลย,10.96946433398047,2024-07-06
เลย,9.21901642689006,2024-07-07
เลย,9.931285825321087,2024-07-08
เลย,10.691520590996321,2024-07-09
เลย,9.980850141204298,2024-07-10
เลย,10.41050410087082,2024-07-11
เลย,8.297397092086939,2024-07-12
เลย,8.971959927368246,2024-07-13
เลย,10.243204076952146,2024-07-14
เลย,8.516034912000768,2024-07-15
เลย,8.013980112680668,2024-07-16
เลย,7.860504464497652,2024-07-17
เลย,7.322216262565605,2024-07-18
เลย,7.7189408313872585,2024-07-19
เลย,7.605739068371288,2024-07-20
เลย,8.073144756270816,2024-07-21
เลย,8.659592648849484,2024-07-22
เลย,10.547854238173691,2024-07-23
เลย,8.083214186562541,2024-07-24
เลย,8.17117210470559,2024-07-25
เลย,8.586833105928678,2024-07-26
เลย,9.00974220340276,2024-07-27
เลย,9.704406001196814,2024-07-30
เลย,10.02517362565533,2024-07-31
ตรัง,13.729144096774972,2024-06-30
ตรัง,12.88062501095413,2024-07-01
ตรัง,14.565055791032279,2024-07-02
ตรัง,14.752082741149044,2024-07-03
ตรัง,13.935967820727377,2024-07-04
ตรัง,13.773869721009252,2024-07-05
ตรัง,12.76976862298139,2024-07-06
ตรัง,13.477554059776,2024-07-07
ตรัง,14.22919377624296,2024-07-08
ตรัง,13.693529623946906,2024-07-09
ตรัง,12.914088483050545,2024-07-10
ตรัง,13.123066007496151,2024-07-11
ตรัง,14.561428665347506,2024-07-12
ตรัง,16.50046973067587,2024-07-13
ตรัง,15.561151413511816,2024-07-14
ตรัง,14.632764229750084,2024-07-15
ตรัง,13.883424077962895,2024-07-16
ตรัง,12.870796490013703,2024-07-17
ตรัง,14.568485785635312,2024-07-18
ตรัง,18.858358159236793,2024-07-19
ตรัง,17.140951788085214,2024-07-20
ตรัง,17.957872918764398,2024-07-21
ตรัง,18.7360852585906,2024-07-22
ตรัง,15.233918836801188,2024-07-23
