จังหวัด, PM2.5, วันที่
ตาก,10.747100524537494,2024-09-30
ตาก,10.42485851409519,2024-10-01
ตาก,8.893016375914986,2024-10-02
ตาก,8.448264374671412,2024-10-03
ตาก,9.65942689602302,2024-10-04
ตาก,13.885383877326309,2024-10-05
ตาก,19.868660010341394,2024-10-06
ตาก,25.428056928807493,2024-10-07
ตาก,26.676180794493355,2024-10-08
ตาก,21.507480898228486,2024-10-09
ตาก,24.48768047884069,2024-10-10
ตาก,27.329374298495026,2024-10-11
ตาก,29.591317755187763,2024-10-12
ตาก,23.10668987568544,2024-10-13
ตาก,19.90670159500447,2024-10-14
ตาก,21.407612535350744,2024-10-15
ตาก,21.79801700462951,2024-10-16
ตาก,19.218201727277147,2024-10-17
ตาก,18.285653867025918,2024-10-18
ตาก,12.626051002210652,2024-10-19
ตาก,7.89632810896862,2024-10-20
ตาก,8.414014578247233,2024-10-21
ตาก,10.691846651334687,2024-10-22
ตาก,9.885725033864848,2024-10-23
ตาก,14.432437519289472,2024-10-24
ตาก,21.05253548835436,2024-10-25
ตาก,18.419325743336238,2024-10-26
ตาก,17.18895897043193,2024-10-27
ตาก,19.776933673741976,2024-10-28
ตาก,19.837836738900123,2024-10-29
ตาก,18.63140705592636,2024-10-30
ตาก,20.074827275794835,2024-10-31
เลย,14.309808894055807,2024-09-30
เลย,11.421244727243687,2024-10-01
เลย,9.331932613159704,2024-10-02
เลย,10.75774603905488,2024-10-03
เลย,15.961508520978603,2024-10-04
เลย,22.099663135598213,2024-10-05
เลย,26.211263735784247,2024-10-06
เลย,29.492782505944614,2024-10-07
เลย,29.655619465493867,2024-10-08
เลย,28.63197502593321,2024-10-09
เลย,33.19483921743842,2024-10-10
เลย,31.280696764838904,2024-10-11
เลย,32.367409205371736,2024-10-12
เลย,24.665592295182652,2024-10-13
เลย,23.81906244817898,2024-10-14
เลย,23.630547451373214,2024-10-15
เลย,21.595545427841294,2024-10-16
เลย,16.051595381481334,2024-10-17
เลย,17.972303357897527,2024-10-18
เลย,14.048365311214445,2024-10-19
เลย,10.100740851350126,2024-10-20
เลย,10.045823847787764,2024-10-21
เลย,9.566837008975904,2024-10-22
เลย,14.16770690438369,2024-10-23
เลย,18.715383886580057,2024-10-24
เลย,24.75057340552395,2024-10-25
เลย,24.386035473391768,2024-10-26
เลย,24.883816679459457,2024-10-27
เลย,18.659015145222124,2024-10-28
เลย,15.783350549103591,2024-10-29
เลย,14.155482204695833,2024-10-30
เลย,16.79104061907267,2024-10-31
ตรัง,10.223779839161685,2024-09-30
ตรัง,11.205777454735884,2024-10-01
ตรัง,11.039859891026317,2024-10-02
ตรัง,9.810048472198776,2024-10-03
ตรัง,9.933673580853853,2024-10-04
ตรัง,8.217129047150147,2024-10-05
ตรัง,11.61946884420136,2024-10-06
ตรัง,13.465179718583302,2024-10-07
ตรัง,13.89724096562087,2024-10-08
ตรัง,12.820621650688437,2024-10-09
ตรัง,12.51348034561198,2024-10-10
ตรัง,14.358261768933135,2024-10-11
ตรัง,10.73889270883753,2024-10-12
ตรัง,9.391464983771312,2024-10-13
ตรัง,11.73157212556565,2024-10-14
ตรัง,12.530641091189736,2024-10-15
ตรัง,14.410658972803331,2024-10-16
ตรัง,13.88138536461193,2024-10-17
ตรัง,11.652443166645817,2024-10-18
ตรัง,10.304763242123931,2024-10-19
ตรัง,9.42572294402028,2024-10-20
ตรัง,12.500121937516756,2024-10-21
ตรัง,15.1179828138708,2024-10-22
ตรัง,11.805655117644182,2024-10-23
ตรัง,13.490163533197341,2024-10-24
ตรัง,13.529430319471986,2024-10-25
ตรัง,11.4999669028584,2024-10-26
ตรัง,12.9721599475746,2024-10-27
ตรัง,13.93823961474443,2024-10-28
ตรัง,14.797304356479943,2024-10-29
ตรัง,15.20656203023853,2024-10-30
ตรัง,17.324518690148555,2024-10-31
ตราด,15.195258360060304,2024-09-30
ตราด,15.852445663584797,2024-10-01
ตราด,19.110702596506176,2024-10-02
ตราด,14.123644550321682,2024-10-03
ตราด,11.595641757239159,2024-10-04
ตราด,17.535480929202155,2024-10-05
ตราด,23.007236787127024,2024-10-06
ตราด,23.50441450309248,2024-10-07
ตราด,26.837864205173705,2024-10-08
ตราด,12.429977883279543,2024-10-09
ตราด,10.524807521242682,2024-10-10
ตราด,19.629383621197857,2024-10-11
ตราด,33.115177151132556,2024-10-12
ตราด,20.254759381943973,2024-10-13
ตราด,22.86488901110076,2024-10-14
ตราด,25.7991118645933,2024-10-15
ตราด,25.63263067867678,2024-10-16
ตราด,23.244650139690393,2024-10-17
ตราด,17.651230364847592,2024-10-18
ตราด,20.569983234736597,2024-10-19
ตราด,20.15819058570058,2024-10-20
ตราด,19.744199781250384,2024-10-21
ตราด,29.345799132686018,2024-10-22
ตราด,22.311299257279725,2024-10-23
ตราด,26.222200729344404,2024-10-24
ตราด,30.249370394829565,2024-10-25
ตราด,32.51655323311562,2024-10-26
ตราด,18.06365243007509,2024-10-27
ตราด,15.775361404813445,2024-10-28
ตราด,19.51436888725434,2024-10-29
ตราด,20.191360237123515,2024-10-30
ตราด,21.739289838217033,2024-10-31
น่าน,25.182915252704205,2024-09-30
น่าน,22.4385016257035,2024-10-01
น่าน,24.364876936036655,2024-10-02
น่าน,23.545565734368378,2024-10-03
น่าน,25.334168862369012,2024-10-04
น่าน,25.76448392074791,2024-10-05
น่าน,27.902264881022994,2024-10-06
น่าน,33.20935002077726,2024-10-07
น่าน,34.262311810238074,2024-10-08
น่าน,33.02772509126569,2024-10-09
น่าน,39.80992793537065,2024-10-10
น่าน,43.06996614094587,2024-10-11
น่าน,40.985343621061716,2024-10-12
น่าน,35.864393715656774,2024-10-13
น่าน,32.04460623121648,2024-10-14
น่าน,30.174981260020413,2024-10-15
น่าน,29.169033289918808,2024-10-16
น่าน,28.288880335451623,2024-10-17
น่าน,28.898165681930486,2024-10-18
น่าน,28.89372830019304,2024-10-19
น่าน,22.286137451811843,2024-10-20
น่าน,22.796799204702264,2024-10-21
น่าน,21.159622256164738,2024-10-22
น่าน,22.258951351153794,2024-10-23
น่าน,30.383588905540844,2024-10-24
น่าน,30.711170186759226,2024-10-25
น่าน,29.570136658211187,2024-10-26
น่าน,29.04279862436011,2024-10-27
น่าน,30.33516207295212,2024-10-28
น่าน,27.435821847639424,2024-10-29
น่าน,29.60816780131132,2024-10-30
น่าน,34.432331383939975,2024-10-31
ยะลา,8.649851432674575,2024-09-30
ยะลา,8.347940183997572,2024-10-01
ยะลา,8.781253072667765,2024-10-02
ยะลา,8.122305233434464,2024-10-03
ยะลา,7.965718132811824,2024-10-04
ยะลา,8.850740813667137,2024-10-05
ยะลา,11.606562544057681,2024-10-06
ยะลา,12.150825926759078,2024-10-07
ยะลา,12.320435441550277,2024-10-08
ยะลา,10.061776459602793,2024-10-09
ยะลา,9.370843237484678,2024-10-10
ยะลา,9.81681225714893,2024-10-11
